,GLD,GDX,positions,num_shares_GLD,num_shares_GDX,cash,holdings,total_asset,transaction_costs,pnl,cumulative_pnl,returns
2024-09-18 12:35:00,237.61,39.33,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:36:00,237.58,39.33,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:37:00,237.6,39.33,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:38:00,237.62,39.31,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:39:00,237.63,39.3,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:40:00,237.66,39.32,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:41:00,237.66,39.32,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:42:00,237.68,39.32,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:43:00,237.67,39.32,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:44:00,237.66,39.33,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:45:00,237.63,39.32,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:46:00,237.67,39.33,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:47:00,237.73,39.34,-1,-210.32263492197032,909.4297803278404,114223.03244190276,-14223.032441902753,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:48:00,237.71,39.32,-1,-210.32263492197032,909.4297803278404,114223.03244190276,-14237.01458481088,99986.01785709188,0.0,-13.982142908120295,-13.982142908120295,-0.00013982142908119943
2024-09-18 12:49:00,237.72,39.33,-1,-210.32263492197032,909.4297803278404,114223.03244190276,-14230.02351335682,99993.00892854594,0.0,6.9910714540601475,-6.9910714540601475,6.992049092358066e-05
2024-09-18 12:50:00,237.72,39.33,-1,-210.32263492197032,909.4297803278404,114223.03244190276,-14230.02351335682,99993.00892854594,0.0,0.0,-6.9910714540601475,0.0
2024-09-18 12:51:00,237.73,39.34,0,0.0,0.0,100000.0,0.0,100000.0,0.0,6.9910714540601475,0.0,6.991560239022476e-05
