,GLD,GDX,positions,num_shares_GLD,num_shares_GDX,cash,holdings,total_asset,transaction_costs,pnl,cumulative_pnl,returns
2024-08-20 10:49:00,233.49,39.5,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 10:50:00,233.6,39.52,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 10:51:00,233.63,39.54,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 10:52:00,233.64,39.55,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 10:53:00,233.53,39.55,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 10:54:00,233.52,39.5,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 10:55:00,233.41,39.45,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 10:56:00,233.4,39.44,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 10:57:00,233.36,39.47,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 10:58:00,233.21,39.43,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 10:59:00,233.27,39.47,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:00:00,233.15,39.44,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:01:00,232.95,39.41,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:02:00,232.38,39.3,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:03:00,232.3,39.3,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:04:00,232.33,39.31,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:05:00,232.28,39.3,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:06:00,232.08,39.3,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:07:00,231.93,39.31,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:08:00,232.12,39.37,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:09:00,232.2,39.39,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:10:00,232.19,39.36,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:11:00,232.06,39.35,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:12:00,232.11,39.37,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:13:00,232.12,39.36,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:14:00,231.97,39.32,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:15:00,232.05,39.32,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:16:00,231.92,39.27,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:17:00,231.69,39.25,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:18:00,231.74,39.25,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:19:00,231.88,39.3,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:20:00,231.92,39.31,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:21:00,231.78,39.25,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:22:00,231.9,39.29,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:23:00,231.81,39.28,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:24:00,231.9,39.26,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:25:00,232.02,39.28,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:26:00,231.97,39.25,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:27:00,231.82,39.23,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:28:00,231.78,39.24,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:29:00,231.93,39.31,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:30:00,231.91,39.25,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:31:00,232.08,39.3,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:32:00,232.13,39.34,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:33:00,232.1,39.35,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:34:00,232.19,39.38,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:35:00,232.2,39.38,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:36:00,232.34,39.41,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:37:00,232.32,39.42,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:38:00,232.4,39.45,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:39:00,232.34,39.45,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:40:00,232.28,39.44,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:41:00,232.26,39.42,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:42:00,232.26,39.41,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:43:00,232.06,39.33,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:44:00,232.07,39.32,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:45:00,231.97,39.26,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:46:00,232.01,39.27,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:47:00,231.84,39.27,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:48:00,231.94,39.27,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:49:00,231.95,39.27,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:50:00,231.99,39.27,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:51:00,232.09,39.31,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:52:00,232.06,39.3,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:53:00,232.01,39.31,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:54:00,232.0,39.33,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:55:00,232.02,39.32,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:56:00,231.97,39.33,1,215.54511359227487,-495.5924709680646,69491.65188317398,30508.34811682602,100000.0,0.0,0.0,0.0,0.0
2024-08-20 11:57:00,231.92,39.32,1,215.54511359227487,-495.5924709680646,69491.65188317398,30502.526785856087,99994.17866903007,0.0,-5.821330969934934,-5.821330969934934,-5.82133096993509e-05
2024-08-20 11:58:00,231.89,39.34,1,215.54511359227487,-495.5924709680646,69491.65188317398,30486.148583028953,99977.80046620293,0.0,-16.37820282713801,-22.199533797072945,-0.00016379156312040788
2024-08-20 11:59:00,231.83,39.31,1,215.54511359227487,-495.5924709680646,69491.65188317398,30488.083650342465,99979.73553351645,0.0,1.9350673135195393,-20.264466483553406,1.9354969848173198e-05
2024-08-20 12:00:00,231.78,39.3,1,215.54511359227487,-495.5924709680646,69491.65188317398,30482.26231937253,99973.91420254651,0.0,-5.821330969934934,-26.08579745348834,-5.82251087070107e-05
2024-08-20 12:01:00,231.71,39.29,1,215.54511359227487,-495.5924709680646,69491.65188317398,30472.130086130754,99963.78196930473,0.0,-10.132233241776703,-36.21803069526504,-0.00010134877005263387
2024-08-20 12:02:00,231.53,39.25,1,215.54511359227487,-495.5924709680646,69491.65188317398,30453.155664522867,99944.80754769685,0.0,-18.974421607883414,-55.19245230314846,-0.0001898129625959033
2024-08-20 12:03:00,231.28,39.2,1,215.54511359227487,-495.5924709680646,69491.65188317398,30424.0490096732,99915.70089284718,0.0,-29.10665484967467,-84.29910715282313,-0.0002912272839765695
2024-08-20 12:04:00,231.49,39.21,1,215.54511359227487,-495.5924709680646,69491.65188317398,30464.357558817897,99956.00944199188,0.0,40.30854914469819,-43.990558008124935,0.00040342557560535397
2024-08-20 12:05:00,231.59,39.26,1,215.54511359227487,-495.5924709680646,69491.65188317398,30461.132446628726,99952.7843298027,0.0,-3.225112189174979,-47.215670197299914,-3.226531558409018e-05
2024-08-20 12:06:00,231.53,39.24,1,215.54511359227487,-495.5924709680646,69491.65188317398,30458.111589232543,99949.76347240653,0.0,-3.0208573961717775,-50.23652759347169,-3.022284387999008e-05
2024-08-20 12:07:00,231.57,39.24,1,215.54511359227487,-495.5924709680646,69491.65188317398,30466.733393776234,99958.38527695021,0.0,8.621804543683538,-41.614723049788154,8.626138015888074e-05
2024-08-20 12:08:00,231.62,39.28,1,215.54511359227487,-495.5924709680646,69491.65188317398,30457.686950617124,99949.3388337911,0.0,-9.046443159109913,-50.66116620889807,-9.050209378680396e-05
2024-08-20 12:09:00,231.75,39.34,1,215.54511359227487,-495.5924709680646,69491.65188317398,30455.97226712604,99947.62415030002,0.0,-1.7146834910818143,-52.37584969997988,-1.7155526100376406e-05
2024-08-20 12:10:00,231.77,39.35,1,215.54511359227487,-495.5924709680646,69491.65188317398,30455.32724468821,99946.9791278622,0.0,-0.6450224378204439,-53.020872137800325,-6.453604508349642e-06
2024-08-20 12:11:00,231.76,39.37,1,215.54511359227487,-495.5924709680646,69491.65188317398,30443.259944132922,99934.9118273069,0.0,-12.067300555296242,-65.08817269309657,-0.0001207370213747172
2024-08-20 12:12:00,231.81,39.39,1,215.54511359227487,-495.5924709680646,69491.65188317398,30444.125350393173,99935.77723356715,0.0,0.865406260243617,-64.22276643285295,8.65969904229047e-06
2024-08-20 12:13:00,231.9,39.43,1,215.54511359227487,-495.5924709680646,69491.65188317398,30443.700711777758,99935.35259495174,0.0,-0.4246386154118227,-64.64740504826477,-4.249115053367447e-06
2024-08-20 12:14:00,231.93,39.43,1,215.54511359227487,-495.5924709680646,69491.65188317398,30450.167065185527,99941.8189483595,0.0,6.46635340776993,-58.18105164049484,6.470536441671726e-05
2024-08-20 12:15:00,231.93,39.42,1,215.54511359227487,-495.5924709680646,69491.65188317398,30455.122989895208,99946.7748730692,0.0,4.955924709691317,-53.225126930803526,4.958809797384056e-05
2024-08-20 12:16:00,232.04,39.45,1,215.54511359227487,-495.5924709680646,69491.65188317398,30463.96517826131,99955.61706143529,0.0,8.84218836609216,-44.38293856471137,8.84689713831488e-05
2024-08-20 12:17:00,231.96,39.41,1,215.54511359227487,-495.5924709680646,69491.65188317398,30466.545268012655,99958.19715118664,0.0,2.580089751354535,-41.80284881335683,2.581235379461866e-05
2024-08-20 12:18:00,231.84,39.37,1,215.54511359227487,-495.5924709680646,69491.65188317398,30460.503553220304,99952.15543639429,0.0,-6.041714792358107,-47.84456360571494,-6.044241457481281e-05
2024-08-20 12:19:00,231.8,39.36,1,215.54511359227487,-495.5924709680646,69491.65188317398,30456.837673386293,99948.48955656028,0.0,-3.6658798340067733,-51.51044343972171,-3.6676345977704194e-05
2024-08-20 12:20:00,231.71,39.34,1,215.54511359227487,-495.5924709680646,69491.65188317398,30447.350462582348,99939.00234575634,0.0,-9.487210803941707,-60.99765424366342,-9.492100226859979e-05
2024-08-20 12:21:00,231.77,39.36,1,215.54511359227487,-495.5924709680646,69491.65188317398,30450.37131997853,99942.02320315251,0.0,3.0208573961717775,-57.97679684749164,3.022701172983311e-05
2024-08-20 12:22:00,231.85,39.38,1,215.54511359227487,-495.5924709680646,69491.65188317398,30457.70307964654,99949.35496282052,0.0,7.331759668013547,-50.645037179478095,7.33601285327623e-05
2024-08-20 12:23:00,231.78,39.36,1,215.54511359227487,-495.5924709680646,69491.65188317398,30452.526771114444,99944.17865428842,0.0,-5.176308532099938,-55.82134571157803,-5.178931403837517e-05
2024-08-20 12:24:00,231.75,39.39,1,215.54511359227487,-495.5924709680646,69491.65188317398,30431.19264357764,99922.84452675162,0.0,-21.334127536800224,-77.15547324837826,-0.0002134604318536626
2024-08-20 12:25:00,231.75,39.38,1,215.54511359227487,-495.5924709680646,69491.65188317398,30436.148568287317,99927.8004514613,0.0,4.955924709676765,-72.19954853870149,4.9597514293564515e-05
2024-08-20 12:26:00,231.54,39.36,1,215.54511359227487,-495.5924709680646,69491.65188317398,30400.7959438523,99892.44782702628,0.0,-35.352624435021426,-107.55217297372292,-0.00035378167312105635
2024-08-20 12:27:00,231.6,39.37,1,215.54511359227487,-495.5924709680646,69491.65188317398,30408.77272595816,99900.42460913214,0.0,7.976782105863094,-99.57539086785982,7.985370545404713e-05
2024-08-20 12:28:00,231.59,39.37,1,215.54511359227487,-495.5924709680646,69491.65188317398,30406.617274822238,99898.26915799623,0.0,-2.1554511359136086,-101.73084200377343,-2.157599574126312e-05
2024-08-20 12:29:00,231.58,39.37,1,215.54511359227487,-495.5924709680646,69491.65188317398,30404.461823686317,99896.1137068603,0.0,-2.1554511359281605,-103.88629313970159,-2.1576461274985803e-05
2024-08-20 12:30:00,231.65,39.39,1,215.54511359227487,-495.5924709680646,69491.65188317398,30409.63813221841,99901.29001539238,0.0,5.176308532085386,-98.7099846076162,5.1816915994207235e-05
2024-08-20 12:31:00,231.63,39.35,1,215.54511359227487,-495.5924709680646,69491.65188317398,30425.150928785282,99916.80281195926,0.0,15.512796566879842,-83.19718804073636,0.0001552812437606299
2024-08-20 12:32:00,231.53,39.33,1,215.54511359227487,-495.5924709680646,69491.65188317398,30413.50826684542,99905.1601500194,0.0,-11.642661939869868,-94.83984998060623,-0.00011652356372715555
2024-08-20 12:33:00,231.47,39.32,1,215.54511359227487,-495.5924709680646,69491.65188317398,30405.53148473956,99897.18336791355,0.0,-7.976782105848542,-102.81663208645477,-7.984354455636833e-05
2024-08-20 12:34:00,231.51,39.33,1,215.54511359227487,-495.5924709680646,69491.65188317398,30409.19736457357,99900.84924774755,0.0,3.6658798340067733,-99.150752252448,3.669652847482219e-05
2024-08-20 12:35:00,231.44,39.33,1,215.54511359227487,-495.5924709680646,69491.65188317398,30394.109206622117,99885.7610897961,0.0,-15.088157951453468,-114.23891020390147,-0.0001510313282125919
2024-08-20 12:36:00,231.49,39.36,1,215.54511359227487,-495.5924709680646,69491.65188317398,30390.018688172688,99881.67057134667,0.0,-4.090518449433148,-118.32942865333462,-4.0951967575808546e-05
2024-08-20 12:37:00,231.55,39.4,1,215.54511359227487,-495.5924709680646,69491.65188317398,30383.127696149506,99874.77957932348,0.0,-6.890992023181752,-125.22042067651637,-6.899155754769293e-05
2024-08-20 12:38:00,231.63,39.41,1,215.54511359227487,-495.5924709680646,69491.65188317398,30395.4153805272,99887.06726370117,0.0,12.287684377690312,-112.93273629882606,0.00012303090359200297
2024-08-20 12:39:00,231.61,39.41,1,215.54511359227487,-495.5924709680646,69491.65188317398,30391.104478255365,99882.75636142935,0.0,-4.310902271827217,-117.24363857065327,-4.315776195973342e-05
2024-08-20 12:40:00,231.52,39.37,1,215.54511359227487,-495.5924709680646,69491.65188317398,30391.529116870777,99883.18100004476,0.0,0.4246386154118227,-116.81899995524145,4.251370615770966e-06
2024-08-20 12:41:00,231.55,39.36,1,215.54511359227487,-495.5924709680646,69491.65188317398,30402.951394988228,99894.6032781622,0.0,11.422278117446695,-105.39672183779476,0.00011435637114365349
2024-08-20 12:42:00,231.51,39.37,1,215.54511359227487,-495.5924709680646,69491.65188317398,30389.37366573485,99881.02554890883,0.0,-13.577729253374855,-118.97445109116961,-0.00013592054833599931
2024-08-20 12:43:00,231.6,39.38,1,215.54511359227487,-495.5924709680646,69491.65188317398,30403.816801248475,99895.46868442246,0.0,14.443135513633024,-104.53131557753659,0.00014460339623334484
2024-08-20 12:44:00,231.6,39.4,1,215.54511359227487,-495.5924709680646,69491.65188317398,30393.904951829118,99885.5568350031,0.0,-9.911849419368082,-114.44316499690467,-9.922221247771201e-05
